country,continent,year,lifeExp,pop,gdpPerCap,Nzpop,Difference from NZ,N museums from Wikipedia,Note
New Zealand,Oceania,2007,80.204,4115771,25185.0091,4115771,0,138,
Albania,Europe,2007,76.423,3600523,5937.0295,4115771,-515248,53,
Bosnia and Herzegovina,Europe,2007,74.852,4552198,7446.2988,4115771,436427,15,
Central African Republic,Africa,2007,44.741,4369038,706.0165,4115771,253267,2,
"Congo, Rep.",Africa,2007,55.322,3800610,3632.5578,4115771,-315161,3,
Costa Rica,Americas,2007,78.782,4133884,9645.0614,4115771,18113,37,
Croatia,Europe,2007,75.748,4493312,14619.2227,4115771,377541,49,
Eritrea,Africa,2007,58.04,4906585,641.3695,4115771,790814,3,
Ireland,Europe,2007,78.885,4109086,40675.9964,4115771,-6685,244,
Lebanon,Asia,2007,71.993,3921278,10461.0587,4115771,-194493,19,
Liberia,Africa,2007,45.678,3193942,414.5073,4115771,-921829,1,
Mauritania,Africa,2007,64.164,3270065,1803.1515,4115771,-845706,3,
Norway,Europe,2007,80.196,4627926,49357.1902,4115771,512155,150,
Oman,Asia,2007,75.64,3204897,22316.1929,4115771,-910874,11,
Panama,Americas,2007,75.537,3242173,9809.1856,4115771,-873598,20,
Puerto Rico,Americas,2007,78.746,3942491,19328.709,4115771,-173280,82,
Singapore,Asia,2007,79.972,4553009,47143.1796,4115771,437238,42,
Uruguay,Americas,2007,76.384,3447496,10611.463,4115771,-668275,10,
West Bank and Gaza,Asia,2007,73.422,4018332,3025.3498,4115771,-97439,1,Not at all sure about this
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
